ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:46:20
Stop time: 13:46:35
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:46:34.608";"20B";"Std";"";"81 00 00 00"
"00:46:34.609";"22E";"Std";"";"00 00 FF FF 00 07 07 00"
"00:46:34.612";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.614";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:34.616";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.617";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.618";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.618";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.619";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:46:34.621";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:34.623";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:34.625";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.627";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.632";"18F";"Std";"";"00 20 05 00"
"00:46:34.636";"72D";"Std";"";"05"
"00:46:34.636";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.637";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.637";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.648";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.650";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:34.652";"70F";"Std";"";"05"
"00:46:34.652";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.653";"702";"Std";"";"05"
"00:46:34.654";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:46:34.655";"188";"Std";"";"00 02 00 00 00 02 01 56"
"00:46:34.656";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.657";"18A";"Std";"";"D9 00 A9 00 D4 00 03 00"
"00:46:34.657";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.658";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.658";"42E";"Std";"";"11 00 00 00 C0 A0 00 07"
"00:46:34.659";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.659";"52E";"Std";"";"30 D4 30 D4 30 D4 30 D4"
"00:46:34.661";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.663";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.663";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.664";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.665";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.696";"80";"Std";"";""
"00:46:34.696";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.697";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.697";"18B";"Std";"";"01 00 00 00"
"00:46:34.698";"28B";"Std";"";"1F 00 F6 FF 15 00 58 00"
"00:46:34.698";"29B";"Std";"";"BD FF C0 FF C2 FF BD FF"
"00:46:34.699";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:34.705";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.705";"302";"Std";"";"00 00 4F 18 F4 01 00 00"
"00:46:34.706";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.706";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.707";"309";"Std";"";"00 00 4F 18 2C 01 00 00"
"00:46:34.708";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.708";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:34.708";"20B";"Std";"";"81 00 00 00"
"00:46:34.709";"214";"Std";"";"02 00 00 00 00 00 00 00"
"00:46:34.709";"314";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.717";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.718";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.722";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.724";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:34.726";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.728";"482";"Std";"";"00 00 FC FF 00 00 1C 01"
"00:46:34.731";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:34.732";"18F";"Std";"";"00 20 05 00"
"00:46:34.732";"28F";"Std";"";"FF 1F 83 00 00 00"
"00:46:34.733";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:34.733";"38F";"Std";"";"00 00 01 03"
"00:46:34.734";"48F";"Std";"";"01 00 00 00 00 00"
"00:46:34.735";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.736";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.737";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.737";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.738";"483";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.738";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.755";"188";"Std";"";"00 02 00 00 00 02 01 57"
"00:46:34.756";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.757";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.757";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.758";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.758";"42E";"Std";"";"11 00 00 00 C0 A0 00 08"
"00:46:34.759";"52E";"Std";"";"05 00 01 08 01 22 00 00"
"00:46:34.760";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:34.762";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.764";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.764";"489";"Std";"";"00 00 FB FF 00 00 25 01"
"00:46:34.765";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.766";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.766";"18A";"Std";"";"D9 00 A9 00 D6 00 03 00"
"00:46:34.769";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.771";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.773";"48A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.789";"392";"Std";"";"00 01 69 34 15 15 16 07"
"00:46:34.796";"80";"Std";"";""
"00:46:34.797";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.797";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.799";"18B";"Std";"";"01 00 00 00"
"00:46:34.800";"28B";"Std";"";"1F 00 F6 FF 0D 00 5D 00"
"00:46:34.800";"29B";"Std";"";"BD FF C0 FF C0 FF BD FF"
"00:46:34.801";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:34.805";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.806";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:46:34.806";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.807";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.807";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:46:34.808";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.808";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:34.809";"20B";"Std";"";"81 00 00 00"
"00:46:34.817";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.832";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.832";"18F";"Std";"";"00 20 05 00"
"00:46:34.834";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:34.836";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.837";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.837";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.838";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.838";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.839";"482";"Std";"";"00 00 FB FF 00 00 1C 01"
"00:46:34.839";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.841";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:34.843";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:34.845";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.847";"483";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.852";"70F";"Std";"";"05"
"00:46:34.855";"188";"Std";"";"00 02 00 00 00 02 01 58"
"00:46:34.856";"22E";"Std";"";"00 00 00 00 00 07 07 00"
"00:46:34.857";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.857";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.858";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.858";"42E";"Std";"";"11 00 00 00 C0 A0 00 09"
"00:46:34.859";"52E";"Std";"";"FF FC 02 0E 00 BC 01 82"
"00:46:34.861";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.861";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.862";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.868";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.870";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:34.872";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.874";"489";"Std";"";"00 00 FB FF 00 00 25 01"
"00:46:34.876";"18A";"Std";"";"D9 00 A9 00 D6 00 03 00"
"00:46:34.879";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.881";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.883";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.887";"194";"Std";"";"01 00 27 01 25 01 35 01"
"00:46:34.888";"494";"Std";"";"39 01 4B 01 0F 01 13 01"
"00:46:34.888";"394";"Std";"";"03 00 02 00 07 00 00 00"
"00:46:34.889";"294";"Std";"";"00 00 01 00 00 00 00 00"
"00:46:34.897";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.897";"80";"Std";"";""
"00:46:34.897";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.898";"18B";"Std";"";"01 00 00 00"
"00:46:34.899";"28B";"Std";"";"21 00 F8 FF 12 00 58 00"
"00:46:34.899";"29B";"Std";"";"C0 FF C0 FF C0 FF BD FF"
"00:46:34.900";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:34.906";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.906";"302";"Std";"";"00 00 4F 18 F4 01 00 00"
"00:46:34.907";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.908";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:34.908";"309";"Std";"";"00 00 4F 18 2C 01 00 00"
"00:46:34.909";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.909";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:34.909";"30F";"Std";"";"B6 7B F4 02 DD 36"
"00:46:34.910";"20B";"Std";"";"81 00 00 00"
"00:46:34.910";"22E";"Std";"";"00 00 FF FF 00 07 07 00"
"00:46:34.917";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.932";"18F";"Std";"";"00 20 05 00"
"00:46:34.932";"48F";"Std";"";"01 00 00 00 00 00"
"00:46:34.936";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.937";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.937";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:34.938";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.942";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.944";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:46:34.946";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.948";"482";"Std";"";"00 00 FD FF 00 00 1C 01"
"00:46:34.951";"183";"Std";"";"E7 00 BA 00 FC 00 03 00"
"00:46:34.953";"283";"Std";"";"01 00 05 00 00 00 00 00"
"00:46:34.955";"383";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.955";"708";"Std";"";"05"
"00:46:34.956";"188";"Std";"";"00 02 00 00 00 02 01 59"
"00:46:34.956";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:46:34.957";"1AE";"Std";"";"00 00 00 00 00"
"00:46:34.957";"2AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.958";"3AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.958";"42E";"Std";"";"11 00 00 00 C0 A0 00 0A"
"00:46:34.959";"483";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.959";"52E";"Std";"";"08 08 00 05 00 00 F0 00"
"00:46:34.961";"24B";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.961";"24A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.962";"24C";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.964";"70B";"Std";"";"05"
"00:46:34.978";"189";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.980";"289";"Std";"";"00 00 00 00 C4 00 C1 00"
"00:46:34.982";"389";"Std";"";"01 00 01 00 4F 50 00 00"
"00:46:34.984";"489";"Std";"";"00 00 FA FF 00 00 25 01"
"00:46:34.986";"18A";"Std";"";"D9 00 A9 00 D6 00 03 00"
"00:46:34.989";"28A";"Std";"";"07 00 01 00 00 00 00 00"
"00:46:34.991";"38A";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.993";"48A";"Std";"";"00 00 00 00 00 40 00 00"
"00:46:34.997";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.997";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:34.998";"701";"Std";"";"05"
"00:46:34.998";"80";"Std";"";""
"00:46:35.000";"18B";"Std";"";"01 00 00 00"
"00:46:35.001";"28B";"Std";"";"1A 00 F3 FF 12 00 58 00"
"00:46:35.001";"29B";"Std";"";"BD FF BD FF BD FF C0 FF"
"00:46:35.002";"1FB";"Std";"";"00 00 05 05 05 05 05 05"
"00:46:35.007";"202";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:35.007";"302";"Std";"";"00 00 4F 08 F4 01 00 00"
"00:46:35.008";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.008";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:46:35.009";"309";"Std";"";"00 00 4F 08 2C 01 00 00"
"00:46:35.009";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.010";"20F";"Std";"";"00 04 04 04 01 00"
"00:46:35.010";"20B";"Std";"";"81 00 00 00"
"00:46:35.017";"1AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.028";"712";"Std";"";"05"
"00:46:35.032";"18F";"Std";"";"00 20 05 00"
"00:46:35.036";"2AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.037";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.037";"4AD";"Std";"";"20 00 00 00 00 00 00 00"
"00:46:35.038";"4AE";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.052";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:46:35.052";"70F";"Std";"";"05"
