ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:26.761;283;Std;;01 00 05 00 00 00 00 00;
00:05:26.762;24B;Std;;00 00 00 00 00 00 00 00;
00:05:26.763;24A;Std;;00 00 00 00 00 00 00 00;
00:05:26.763;24C;Std;;00 00 00 00 00 00 00 00;
00:05:26.764;188;Std;;00 02 00 00 00 02 01 23;
00:05:26.764;383;Std;;00 00 00 00 00 00 00 00;
00:05:26.766;483;Std;;00 00 00 00 00 00 00 00;
00:05:26.768;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:26.777;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.777;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.780;194;Std;;01 00 28 01 23 01 38 01;
00:05:26.780;494;Std;;3D 01 4D 01 0F 01 13 01;
00:05:26.781;394;Std;;02 00 03 00 06 00 00 00;
00:05:26.781;294;Std;;00 00 01 00 00 00 00 00;
00:05:26.790;189;Std;;00 00 00 00 00 00 00 00;
00:05:26.793;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:26.795;389;Std;;01 00 01 00 4F 50 00 00;
00:05:26.797;489;Std;;00 00 F9 FF 00 00 22 01;
00:05:26.798;80;Std;;;
00:05:26.798;184;Std;;00 00 00 00 00 07 0F 01;
00:05:26.799;18B;Std;;01 00 00 00;
00:05:26.799;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:26.800;28B;Std;;1F 00 F3 FF 15 00 5D 00;
00:05:26.800;29B;Std;;C0 FF BD FF BD FF BD FF;
00:05:26.801;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:26.801;28A;Std;;07 00 01 00 00 00 00 00;
00:05:26.804;38A;Std;;00 00 00 00 00 00 00 00;
00:05:26.806;48A;Std;;00 00 00 00 00 40 00 00;
00:05:26.808;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:26.809;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:26.809;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:26.810;402;Std;;00 00 00 00 00 00 00 00;
00:05:26.810;709;Std;;5;
00:05:26.811;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:26.811;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:26.812;409;Std;;00 00 00 00 00 00 00 00;
00:05:26.812;204;Std;;00 00 00 00 00 00 00 00;
00:05:26.813;304;Std;;00 00 00 00 00 00 00 00;
00:05:26.813;20F;Std;;00 04 04 04 01 00;
00:05:26.814;20B;Std;;81 00 00 00;
00:05:26.817;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.817;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:26.818;384;Std;;C4 02 F8 01 F5 01 F7 01;
00:05:26.828;484;Std;;00 00 00 00 00 00 00 00;
00:05:26.831;70B;Std;;5;
00:05:26.835;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:26.836;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:26.836;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:26.837;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:26.838;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:26.848;285;Std;;01 00 90 42 81 00 00 01;
00:05:26.856;1AE;Std;;00 00 00 00 00;
00:05:26.856;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.857;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:26.857;18F;Std;;00 20 05 00;
00:05:26.858;385;Std;;00 00 00 00 00 00 00 00;
00:05:26.859;42E;Std;;11 00 00 00 C0 78 00 0C;
00:05:26.860;52E;Std;;00 00 00 00 67 BD 2D 00;
00:05:26.860;182;Std;;00 00 00 00 00 00 00 00;
00:05:26.862;282;Std;;00 00 00 00 DC 00 D9 00;
00:05:26.863;24B;Std;;00 00 00 00 00 00 00 00;
00:05:26.864;188;Std;;00 02 00 00 00 02 01 24;
00:05:26.864;24A;Std;;00 00 00 00 00 00 00 00;
00:05:26.865;382;Std;;01 00 01 00 4F 50 00 00;
00:05:26.865;24C;Std;;00 00 00 00 00 00 00 00;
00:05:26.867;482;Std;;00 00 FD FF 00 00 17 01;
00:05:26.868;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:26.869;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:26.871;283;Std;;01 00 05 00 00 00 00 00;
00:05:26.873;383;Std;;00 00 00 00 00 00 00 00;
