ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543;;;;;
Date: 15.06.2022;;;;;
Start time: 13:05:12;;;;;
Stop time: 13:05:48;;;;;
Overruns: 0  Errorframes: 0                                          ;;;;;
Baudrate: 250 kbit/s;;;;;
Time;Identifier (hex);Format;Flags;Data (hex);
00:05:34.009;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.010;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.011;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.011;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.012;20F;Std;;00 04 04 04 01 00;
00:05:34.012;20B;Std;;81 00 00 00;
00:05:34.012;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.013;22E;Std;;00 00 00 00 00 07 07 00;
00:05:34.013;214;Std;;02 00 00 00 00 00 00 00;
00:05:34.014;314;Std;;00 00 00 00 00 00 00 00;
00:05:34.015;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.015;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.017;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.017;482;Std;;00 00 FD FF 00 00 17 01;
00:05:34.018;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.018;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.019;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.019;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.021;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.023;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.025;384;Std;;C3 02 F8 01 F5 01 F7 01;
00:05:34.026;483;Std;;00 00 00 00 00 40 00 00;
00:05:34.035;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.036;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.036;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.045;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.050;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.053;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.055;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.055;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.056;1AE;Std;;00 00 00 00 00;
00:05:34.056;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.057;18F;Std;;00 20 05 00;
00:05:34.057;489;Std;;00 00 FA FF 00 00 22 01;
00:05:34.059;188;Std;;00 02 00 00 00 02 01 07;
00:05:34.059;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:34.060;42E;Std;;11 00 00 00 C0 78 00 08;
00:05:34.061;52E;Std;;05 00 01 09 01 21 00 00;
00:05:34.061;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.064;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.065;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.065;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.066;48A;Std;;00 00 00 00 00 40 00 00;
00:05:34.066;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.067;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.075;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:34.076;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.076;70F;Std;;5;
00:05:34.077;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.094;704;Std;;5;
00:05:34.097;80;Std;;;
00:05:34.098;18B;Std;;01 00 00 00;
00:05:34.099;28B;Std;;21 00 F3 FF 0F 00 58 00;
00:05:34.099;29B;Std;;C0 FF BD FF C0 FF C0 FF;
00:05:34.100;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.100;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.101;100;Std;;4B EF CE 02 DD 36;
00:05:34.105;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.108;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.109;302;Std;;00 00 CF 18 F4 01 00 00;
00:05:34.109;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.110;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.110;309;Std;;00 00 CF 18 2C 01 00 00;
00:05:34.111;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.111;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.112;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.112;20F;Std;;00 04 04 04 01 00;
00:05:34.113;20B;Std;;81 00 00 00;
00:05:34.115;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.116;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.117;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.117;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.118;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.120;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.122;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.125;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.125;384;Std;;C3 02 F8 01 F5 01 F7 01;
00:05:34.127;482;Std;;00 00 FC FF 00 00 17 01;
00:05:34.129;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.131;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.133;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.135;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.135;72D;Std;;5;
00:05:34.136;483;Std;;00 00 00 00 00 00 00 00;
00:05:34.136;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.137;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.145;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.155;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.155;1AE;Std;;00 00 00 00 00;
00:05:34.156;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.156;18F;Std;;00 20 05 00;
00:05:34.157;48F;Std;;01 00 00 00 00 00;
00:05:34.159;188;Std;;00 02 00 00 00 02 01 08;
00:05:34.159;42E;Std;;11 00 00 00 C0 78 00 09;
00:05:34.160;52E;Std;;FF FB 02 2D 00 BA 01 81;
00:05:34.160;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.163;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.164;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.165;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.165;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.166;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.166;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.167;489;Std;;00 00 FB FF 00 00 22 01;
00:05:34.169;18A;Std;;D9 00 A7 00 D6 00 03 00;
00:05:34.171;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.174;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.175;485;Std;;FA 01 FA 01 E6 02 00 00;
00:05:34.176;48A;Std;;00 00 00 00 00 00 00 00;
00:05:34.176;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.177;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.197;80;Std;;;
00:05:34.200;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.200;18B;Std;;01 00 00 00;
00:05:34.201;28B;Std;;1F 00 F3 FF 0F 00 58 00;
00:05:34.201;29B;Std;;BD FF C0 FF C0 FF BD FF;
00:05:34.202;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.205;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.207;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.208;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:34.208;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.209;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.209;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:34.210;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.210;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.211;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.211;212;Std;;00 00 00 00 00 00 00 00;
00:05:34.212;20F;Std;;00 04 04 04 01 00;
00:05:34.212;30F;Std;;AE EF CE 02 DD 36;
00:05:34.213;20B;Std;;81 00 00 00;
00:05:34.213;22E;Std;;00 00 FF FF 00 07 07 00;
00:05:34.215;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.217;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.217;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.218;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.218;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.225;384;Std;;C4 02 F7 01 F5 01 F7 01;
00:05:34.230;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.232;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.235;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.235;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.236;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.236;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.237;482;Std;;00 00 FC FF 00 00 17 01;
00:05:34.239;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.241;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.243;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.245;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.246;483;Std;;00 00 00 00 00 40 00 00;
00:05:34.255;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.256;1AE;Std;;00 00 00 00 00;
00:05:34.256;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.257;18F;Std;;00 20 05 00;
00:05:34.257;28F;Std;;FF 1F 83 00 00 00;
00:05:34.258;714;Std;;5;
00:05:34.258;38F;Std;;00 00 01 03;
00:05:34.259;188;Std;;00 02 00 00 00 02 01 09;
00:05:34.259;22E;Std;;00 00 00 00 00 07 07 00;
00:05:34.260;42E;Std;;11 00 00 00 C0 78 00 0A;
00:05:34.260;52E;Std;;08 08 00 05 00 00 F0 00;
00:05:34.264;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.264;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.265;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.266;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.270;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.273;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.275;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.275;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:34.276;70F;Std;;5;
00:05:34.277;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.277;489;Std;;00 00 FC FF 00 00 22 01;
00:05:34.279;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:34.280;194;Std;;01 00 24 01 25 01 36 01;
00:05:34.280;494;Std;;3A 01 4C 01 0C 01 11 01;
00:05:34.281;394;Std;;03 00 03 00 05 00 00 00;
00:05:34.281;294;Std;;01 00 01 00 00 00 00 00;
00:05:34.282;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.284;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.285;187;Std;;00 00 00 00 00 00 00 00;
00:05:34.286;48A;Std;;00 00 00 00 00 40 00 00;
00:05:34.299;80;Std;;;
00:05:34.300;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.301;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.302;18B;Std;;01 00 00 00;
00:05:34.303;28B;Std;;1F 00 F6 FF 0F 00 5F 00;
00:05:34.303;29B;Std;;BD FF BD FF BD FF C0 FF;
00:05:34.304;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.305;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.309;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.309;302;Std;;00 00 CF 18 F4 01 00 00;
00:05:34.310;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.311;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.311;309;Std;;00 00 CF 18 2C 01 00 00;
00:05:34.312;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.312;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.313;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.313;20F;Std;;00 04 04 04 01 00;
00:05:34.314;20B;Std;;81 00 00 00;
00:05:34.315;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.317;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.317;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.318;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.318;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.325;384;Std;;C4 02 F8 01 F5 01 F7 01;
00:05:34.335;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.336;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.336;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.340;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.342;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.345;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.345;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.347;482;Std;;00 00 FD FF 00 00 17 01;
00:05:34.347;70B;Std;;5;
00:05:34.349;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.351;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.353;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.355;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.356;483;Std;;00 00 00 00 00 00 00 00;
00:05:34.356;1AE;Std;;00 00 00 00 00;
00:05:34.357;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.357;18F;Std;;00 20 05 00;
00:05:34.358;42E;Std;;11 00 00 00 C0 78 00 0B;
00:05:34.358;48F;Std;;01 00 00 00 00 00;
00:05:34.359;188;Std;;00 02 00 00 00 02 01 0A;
00:05:34.363;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.363;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.364;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.365;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.375;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:34.376;712;Std;;5;
00:05:34.376;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.380;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.383;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.385;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.387;489;Std;;00 00 FA FF 00 00 22 01;
00:05:34.389;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:34.391;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.394;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.396;48A;Std;;00 00 00 00 00 40 00 00;
00:05:34.398;701;Std;;5;
00:05:34.398;80;Std;;;
00:05:34.400;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.401;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.401;709;Std;;5;
00:05:34.401;18B;Std;;01 00 00 00;
00:05:34.402;28B;Std;;1F 00 F6 FF 0D 00 5D 00;
00:05:34.402;29B;Std;;C0 FF BA FF BA FF BD FF;
00:05:34.403;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.406;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.409;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.409;302;Std;;00 00 CF 18 F4 01 00 00;
00:05:34.410;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.410;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.411;309;Std;;00 00 CF 18 2C 01 00 00;
00:05:34.411;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.412;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.412;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.413;20F;Std;;00 04 04 04 01 00;
00:05:34.413;20B;Std;;81 00 00 00;
00:05:34.416;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.417;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.417;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.418;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.418;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.425;384;Std;;C4 02 F8 01 F5 01 F7 01;
00:05:34.435;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.436;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.436;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.445;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.450;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.452;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.455;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.455;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.456;1AE;Std;;00 00 00 00 00;
00:05:34.456;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.457;18F;Std;;00 20 05 00;
00:05:34.457;482;Std;;00 00 FC FF 00 00 17 01;
00:05:34.458;188;Std;;00 02 00 00 00 02 01 0B;
00:05:34.459;42E;Std;;11 00 00 00 C0 78 00 0C;
00:05:34.459;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.460;52E;Std;;00 00 00 00 67 BD 2D 00;
00:05:34.461;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.463;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.465;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.466;483;Std;;00 00 00 00 00 40 00 00;
00:05:34.466;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.467;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.467;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.470;702;Std;;5;
00:05:34.475;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:34.476;70F;Std;;5;
00:05:34.477;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.490;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.493;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.495;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.497;489;Std;;00 00 FA FF 00 00 22 01;
00:05:34.498;80;Std;;;
00:05:34.499;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:34.500;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.500;18B;Std;;01 00 00 00;
00:05:34.501;28B;Std;;1F 00 F3 FF 15 00 58 00;
00:05:34.501;29B;Std;;C0 FF C0 FF BD FF BD FF;
00:05:34.502;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.502;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.504;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.506;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.506;48A;Std;;00 00 00 00 00 40 00 00;
00:05:34.508;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.508;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:34.509;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.510;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.510;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:34.511;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.511;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.512;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.512;20F;Std;;00 04 04 04 01 00;
00:05:34.513;20B;Std;;81 00 00 00;
00:05:34.513;214;Std;;02 00 00 00 00 00 00 00;
00:05:34.514;314;Std;;00 00 00 00 00 00 00 00;
00:05:34.516;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.516;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.517;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.517;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.518;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.518;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.526;384;Std;;C3 02 F8 01 F5 01 F7 01;
00:05:34.535;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.536;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.536;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.545;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.555;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.556;1AE;Std;;00 00 00 00 00;
00:05:34.556;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.557;18F;Std;;00 20 05 00;
00:05:34.557;48F;Std;;01 00 00 00 00 00;
00:05:34.558;708;Std;;5;
00:05:34.559;188;Std;;00 02 00 00 00 02 01 0C;
00:05:34.559;22E;Std;;00 00 FF FF 00 07 07 00;
00:05:34.560;42E;Std;;11 00 00 00 C0 78 00 0D;
00:05:34.560;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.562;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.564;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.564;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.565;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.565;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.566;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.567;482;Std;;00 00 FC FF 00 00 17 01;
00:05:34.569;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.571;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.573;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.575;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:34.576;483;Std;;00 00 00 00 00 40 00 00;
00:05:34.577;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.594;704;Std;;5;
00:05:34.597;80;Std;;;
00:05:34.599;18B;Std;;01 00 00 00;
00:05:34.600;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.600;28B;Std;;1F 00 F6 FF 15 00 5A 00;
00:05:34.601;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.601;29B;Std;;BD FF BD FF C0 FF C0 FF;
00:05:34.602;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.603;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.605;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.606;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.607;489;Std;;00 00 FA FF 00 00 22 01;
00:05:34.607;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.608;302;Std;;00 00 CF 18 F4 01 00 00;
00:05:34.609;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.609;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.610;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:34.610;309;Std;;00 00 CF 18 2C 01 00 00;
00:05:34.611;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.611;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.612;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.612;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.613;20F;Std;;00 04 04 04 01 00;
00:05:34.613;20B;Std;;81 00 00 00;
00:05:34.614;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.616;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.616;48A;Std;;00 00 00 00 00 00 00 00;
00:05:34.617;2AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.617;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.618;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.618;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.619;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.626;384;Std;;C4 02 F8 01 F5 01 F8 01;
00:05:34.635;72D;Std;;5;
00:05:34.635;484;Std;;00 00 00 00 00 00 00 00;
00:05:34.636;3AD;Std;;00 00 00 00 00 00 00 00;
00:05:34.636;392;Std;;00 01 CD 34 15 15 16 07;
00:05:34.637;4AD;Std;;20 00 00 00 00 00 00 00;
00:05:34.645;185;Std;;FD B3 49 F0 01 03 BB 33;
00:05:34.655;285;Std;;01 00 90 42 81 00 00 01;
00:05:34.656;1AE;Std;;00 00 00 00 00;
00:05:34.656;2AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.657;18F;Std;;00 20 05 00;
00:05:34.658;188;Std;;00 02 00 00 00 02 01 0D;
00:05:34.660;42E;Std;;11 00 00 00 C0 78 00 0E;
00:05:34.660;52E;Std;;00 00 00 03 00 00 00 00;
00:05:34.665;24B;Std;;00 00 00 00 00 00 00 00;
00:05:34.665;24A;Std;;00 00 00 00 00 00 00 00;
00:05:34.666;385;Std;;00 00 00 00 00 00 00 00;
00:05:34.666;24C;Std;;00 00 00 00 00 00 00 00;
00:05:34.670;182;Std;;00 00 00 00 00 00 00 00;
00:05:34.672;282;Std;;00 00 00 00 DC 00 D8 00;
00:05:34.675;382;Std;;01 00 01 00 4F 50 00 00;
00:05:34.675;485;Std;;FA 01 FA 01 E7 02 00 00;
00:05:34.676;3AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.677;482;Std;;00 00 FD FF 00 00 17 01;
00:05:34.677;70F;Std;;5;
00:05:34.679;183;Std;;E4 00 B9 00 FF 00 03 00;
00:05:34.681;283;Std;;01 00 05 00 00 00 00 00;
00:05:34.683;383;Std;;00 00 00 00 00 00 00 00;
00:05:34.686;483;Std;;00 00 00 00 00 00 00 00;
00:05:34.697;80;Std;;;
00:05:34.698;18B;Std;;01 00 00 00;
00:05:34.699;28B;Std;;24 00 F6 FF 0D 00 58 00;
00:05:34.699;29B;Std;;C0 FF C0 FF BD FF BD FF;
00:05:34.700;1FB;Std;;00 00 05 05 05 05 05 05;
00:05:34.700;1AD;Std;;0C 00 01 01 05 01 01 00;
00:05:34.706;184;Std;;00 00 00 00 00 07 0F 01;
00:05:34.707;202;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.708;302;Std;;00 00 CF 08 F4 01 00 00;
00:05:34.708;402;Std;;00 00 00 00 00 00 00 00;
00:05:34.709;209;Std;;00 00 00 00 D4 30 D4 30;
00:05:34.709;309;Std;;00 00 CF 08 2C 01 00 00;
00:05:34.710;409;Std;;00 00 00 00 00 00 00 00;
00:05:34.710;204;Std;;00 00 00 00 00 00 00 00;
00:05:34.711;189;Std;;00 00 00 00 00 00 00 00;
00:05:34.711;304;Std;;00 00 00 00 00 00 00 00;
00:05:34.712;20F;Std;;00 04 04 04 01 00;
00:05:34.712;30F;Std;;A3 F1 CE 02 DD 36;
00:05:34.713;289;Std;;00 00 00 00 C4 00 C1 00;
00:05:34.713;20B;Std;;81 00 00 00;
00:05:34.715;389;Std;;01 00 01 00 4F 50 00 00;
00:05:34.716;284;Std;;31 02 E0 27 4A 20 11 00;
00:05:34.716;3AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.717;489;Std;;00 00 FA FF 00 00 22 01;
00:05:34.717;4AE;Std;;00 00 00 00 00 00 00 00;
00:05:34.718;1AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.718;2AF;Std;;00 00 00 00 00 00 00 00;
00:05:34.719;18A;Std;;D9 00 A7 00 D7 00 03 00;
00:05:34.721;28A;Std;;07 00 01 00 00 00 00 00;
00:05:34.724;38A;Std;;00 00 00 00 00 00 00 00;
00:05:34.726;48A;Std;;00 00 00 00 00 40 00 00;
00:05:34.726;384;Std;;C3 02 F7 01 F5 01 F7 01;
