ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 15.06.2022
Start time: 13:51:01
Stop time: 13:51:09
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:51:15.733";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.733";"485";"Std";"";"FA 01 FA 01 7E 02 00 00"
"00:51:15.734";"209";"Std";"";"00 00 00 00 D4 30 D4 30"
"00:51:15.734";"72D";"Std";"";"05"
"00:51:15.735";"309";"Std";"";"00 00 4F 18 2C 01 00 00"
"00:51:15.735";"409";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.736";"204";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.736";"304";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.737";"20F";"Std";"";"00 04 04 04 01 00"
"00:51:15.737";"20B";"Std";"";"81 00 00 00"
"00:51:15.738";"214";"Std";"";"02 00 00 00 00 00 00 00"
"00:51:15.738";"314";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.741";"486";"Std";"";"38 00 00 00 A0 0A 00 00"
"00:51:15.742";"386";"Std";"";"0A 19 00 AA 80 02 80 02"
"00:51:15.752";"708";"Std";"";"05"
"00:51:15.753";"188";"Std";"";"00 02 00 00 00 02 01 47"
"00:51:15.754";"1AD";"Std";"";"0C 00 01 01 05 01 01 00"
"00:51:15.755";"2AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.756";"3AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.764";"184";"Std";"";"00 00 00 00 00 00 0F 01"
"00:51:15.773";"182";"Std";"";"00 00 00 00 00 00 00 00"
"00:51:15.774";"284";"Std";"";"31 02 E0 27 4A 20 11 00"
"00:51:15.775";"282";"Std";"";"00 00 00 00 DC 00 D8 00"
"00:51:15.777";"382";"Std";"";"01 00 01 00 4F 50 00 00"
"00:51:15.778";"3AD";"Std";"";"00 00 00 00 00 00 00 00"
